artist,song,charting_year,length
Marshmello & Bastille,Happier,2019,0:03:34
Ariana Grande,7 Rings,2019,0:02:58
Khalid,Talk,2019,0:03:17
Travis Scott,Sicko Mode,2019,0:05:12
Jonas Brothers,Sucker,2019,0:03:01
The Weeknd,Blinding Lights,2020,0:03:20
Post Malone,Circles,2020,0:03:35
Roddy Ricch,The Box,2020,0:03:16
Dua Lipa,Don't Start Now,2020,0:03:03
DaBaby feat. Roddy Ricch,Rockstar,2020,0:03:01
Harry Styles,Adore You,2020,0:03:27
Future feat. Drake,Life Is Good,2020,0:03:57
Maroon 5,Memories,2020,0:03:09
Maren Morris,The Bones,2020,0:03:17
Lewis Capaldi,Someone You Loved,2020,0:03:02
Dua Lipa,Levitating,2021,0:03:23
The Weeknd & Ariana Grande,Save Your Tears,2021,0:03:11
The Weeknd,Blinding Lights,2021,0:03:20
24kGoldn feat. iann dior,Mood,2021,0:02:20
Olivia Rodrigo,Good 4 U,2021,0:02:58
Doja Cat feat. SZA,Kiss Me More,2021,0:03:28
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,2021,0:04:02
Olivia Rodrigo,Drivers License,2021,0:04:02
Lil Nas X,Montero (Call Me By Your Name),2021,0:02:17
Justin Bieber feat. Daniel Caesar & Giveon,Peaches,2021,0:03:18
Glass Animals,Heat Waves,2022,0:03:58
Harry Styles,As It Was,2022,0:02:47
The Kid LAROI & Justin Bieber,Stay,2022,0:02:21
Adele,Easy On Me,2022,0:03:44
Ed Sheeran,Shivers,2022,0:03:27
Jack Harlow,First Class,2022,0:02:53
Latto,Big Energy,2022,0:02:52
Justin Bieber,Ghost,2022,0:02:33
Kodak Black,Super Gremlin,2022,0:03:20
Elton John & Dua Lipa,Cold Heart (PNAU Remix),2022,0:03:22
